Cable Name,Left Leg,Left Leg Name,Wire Name,Left Pin Pos #,Left Housing Type,Left Housing Part #,Left Pin P#,AWGuage,Color,Twisted Pair ID,Length (in or ft),Tap Position (in or ft),Branch ID,,Branch Role,Right Leg,Right Leg Name,Right Pin Pos #,Right Housing Type,Right Housing Part #,Right Pin P#,Right Wire Name,Tool used,Comments
W323,1,SUBCON,GND,1,13 PIN CIRCULAR SUBCON,DPBOF13F,,22,BLACK,,20.00,,,,,1,GND,1,1 POS FERRULE CONNECTOR,SINGLE-POS-HOUSING,FERRULE,GND,FERRULE CRIMPER,Each ferrule is inserted into its own single-position housing.
W323,1,SUBCON,DNP,2,13 PIN CIRCULAR SUBCON,DPBOF13F,,,,,,,,,,2,BOT BLOX ETHERNET,5,8 POS BOT BLOX ETHERNET CONNECTOR,BOT-BLOX-8P,,DNP,,Unused Ethernet position.
W323,1,SUBCON,PWR,3,13 PIN CIRCULAR SUBCON,DPBOF13F,,22,RED,,20.00,,,,,3,PWR,1,1 POS FERRULE CONNECTOR,SINGLE-POS-HOUSING,FERRULE,PWR,FERRULE CRIMPER,Each ferrule is inserted into its own single-position housing.
W323,1,SUBCON,DNP,4,13 PIN CIRCULAR SUBCON,DPBOF13F,,,,,,,,,,2,BOT BLOX ETHERNET,6,8 POS BOT BLOX ETHERNET CONNECTOR,BOT-BLOX-8P,,DNP,,Unused Ethernet position.
W323,1,SUBCON,DNP,5,13 PIN CIRCULAR SUBCON,DPBOF13F,,,,,,,,,,2,BOT BLOX ETHERNET,7,8 POS BOT BLOX ETHERNET CONNECTOR,BOT-BLOX-8P,,DNP,,Unused Ethernet position.
W323,1,SUBCON,DNP,6,13 PIN CIRCULAR SUBCON,DPBOF13F,,,,,,,,,,2,BOT BLOX ETHERNET,8,8 POS BOT BLOX ETHERNET CONNECTOR,BOT-BLOX-8P,,DNP,,Unused Ethernet position.
W323,1,SUBCON,DNP,7,13 PIN CIRCULAR SUBCON,DPBOF13F,,,,,,,,,,,,,,,,DNP,,Not used.
W323,1,SUBCON,ETHERNET TX-,8,13 PIN CIRCULAR SUBCON,DPBOF13F,,22,ORANGE,TP1,20.00,,,,,2,BOT BLOX ETHERNET,1,8 POS BOT BLOX ETHERNET CONNECTOR,BOT-BLOX-8P,,ETHERNET TX-,,TP1 twisted pair.
W323,1,SUBCON,ETHERNET TX+,9,13 PIN CIRCULAR SUBCON,DPBOF13F,,22,ORANGE / WHITE,TP1,20.00,,,,,2,BOT BLOX ETHERNET,2,8 POS BOT BLOX ETHERNET CONNECTOR,BOT-BLOX-8P,,ETHERNET TX+,,TP1 twisted pair.
W323,1,SUBCON,ETHERNET RX-,10,13 PIN CIRCULAR SUBCON,DPBOF13F,,22,GREEN,TP2,20.00,,,,,2,BOT BLOX ETHERNET,3,8 POS BOT BLOX ETHERNET CONNECTOR,BOT-BLOX-8P,,ETHERNET RX-,,TP2 twisted pair.
W323,1,SUBCON,ETHERNET RX+,11,13 PIN CIRCULAR SUBCON,DPBOF13F,,22,GREEN / WHITE,TP2,20.00,,,,,2,BOT BLOX ETHERNET,4,8 POS BOT BLOX ETHERNET CONNECTOR,BOT-BLOX-8P,,ETHERNET RX+,,TP2 twisted pair.
W323,1,SUBCON,DNP,12,13 PIN CIRCULAR SUBCON,DPBOF13F,,,,,,,,,,,,,,,,DNP,,Not used.
W323,1,SUBCON,DNP,13,13 PIN CIRCULAR SUBCON,DPBOF13F,,,,,,,,,,,,,,,,DNP,,Not used.
